word
لاؤ لَگانا
لاؤبالی پَن
لاؤنی کَرْنا
لوڑا کھڑا ہونا
لَوڑے کی
لایِق مَنْد
لَب
لَب ِ آب
لَب چاٹْنا
لَب چَبانا
لَب بان٘دْھنا
لَب خُشْک ہونا
لَب ِ راہ
لَب ریز
لَب زَخْم
لَب سِینا
لَب کاٹْنا
لَب کام
لَب کُشا
لَب کھولْنا
لَب کُھلْنا
لَب گَرْداں
لَب لَگانا
لَب ِ نازُک
بُجْھنا رَکْھنا
بُجْھنا کَہْنا
بُجْھنا ہوئی بات
بُجْھنا ہونا
کَرْنا کھانا
کَرْنا لَگانا
کَرْنا لَگْنا
کَرْنا ہَرا ہونا
گَھڑی
گَواہی کَرانا
پون٘گا تانْنا
پون٘گا چَلْنا
پون٘گا مار
پون٘گا مارْنا
لالۂ
لالَہ وَش
لالی پاپ رَہ جانا
لالے پَڑْنا
لالے رَہْنا
لالے ہونا
لَب بَسْتَہ
لام کاف
لام اُڑانا
لَب بَن٘د کَرْنا
لام بان٘دْھنا
لام بَنْدی
لَب بوسی
لام پَر جانا
لام
لَب پَر ہونا
لَب تَر ہونا
کَمان دار
کَم
لانا بَندی
لانا لَگانا
لان٘گ ڈالْنا
لان٘گ بان٘دْھنا
لان٘گ
لان٘گ ماسا
کَم شُعُور
گُوئے باز
گوئے بازی
گوئے زَمِین
گُون٘جا ہُوا
گوئے لے جانا
گَونے سے ہونا
گُونِیا
لوڑا دِکھانا
لوڑا رَکْھنا
گویا ہونا
گُوہ اُٹھانا
گُوہ اُچھالْنا
گُوہ اُچَھلْنا
گویائی کَرْنا
گُوہ کا کِیڑا
گُوہ کَرْ دینا کَرْنا
گُوہ مُوت کَرْنا
گُوہ ہو جانا ہونا
گوہ
گویَنْدَہ گَری
گُوہار آنا
گون٘د دار
گون٘د دانی
گُوہار لَڑْنا
گون٘د کَش
گَہ گَہہ بان٘دْھنا
گون٘د ہو جانا
گَہ گَہہ بان٘گ
گَہ گَہہ بَیٹْھنا
گَہ گَہہ جانا
گَہ گَہہ گاہ
گون٘دا پَر لَگانا
گَہ گَہہ گَہے
گون٘دا دِکھانا
گُہ گُہہ کھانا
گَوہَر اَفْشانی
گُہار لَڑنا
گُہار مَچانا
کمر دار
گَوہَر بار
گَوہَر باری
گُہَر بار
گَوہَر بَنْد
کَولے کی مِٹھائی
گُہَر بَنْدی
گُہَر بیز
گُہَر پاش
گَوہَر پارَہ
گُہَر پاشی
گَوہَر پَرْوَر
گُہَر پوش
گَوہَر تَر
گُہَر جوش
گَوہَر توڑْنا
گون٘دے کی دِیوار
گَوہَر خانَہ
گُہَر ریز
گُہَر ریزی
گَوہَر خیز
گُہَر ساز
گَوہَر دار
گُہَر سَنْج
کَم کوش
گَوہَر ریز
گَوہَر سِتاں
گُہَر فِشاں
گَوہَر شَناس
گَہْرا پا
گَہْرا پَن
گَوہَر فَروش
گَوہَر فِشاں
گَوہَر فِشانی
گون٘دھے کی دِیوار
گَوہَر کَش
گَوہَر گَرَجْنا
گون٘ڈ کَلی
گَوہَر نِگار
لَچَک دار
گُوہَر
گُون٘گا بَنانا
گُون٘گا پَن
گُون٘گا کَرْنا
گُون٘گا ہو جانا ہونا
گُون٘گی مَحْفِل
